,headline,
0,"Eric Holder Is Really, Really Sick Of People Saying He's Anti-Cop",crime
1,Seven Types Of People That Should Never Receive Jobless Benefits,politics
2,The Internet Can't Get Enough Of The Freakiest Game Ending Ever,business
3,Lupe Valdez Could Make History As Texas?€? First Hispanic Governor,politics
4,Why America Has A Leg Up On Fighting Extremism -- For Now,politics
5,"For Donald Trump Or Hillary Clinton, A ""Hellish"" Economy Ahead",politics
6,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests,sports
7,Merrick Garland's Own Court Won't Force Republican Senators To Vote Him Up Or Down,politics
8,George Zimmerman Accused Of Stalking Detective Working On Trayvon Martin Film,crime
9,Trump Campaign Floats Every Defense In the Book For Second Amendment Fiasco,politics
10,Warren Buffett Cancer Treatment Shows Challenges In Health Care Cost-Cutting,business
11,The Reinvention of the Cadillac: Daring to Be Different,business
12,Immigration Activists Protest Pelosi Over Trump Deal: 'We Are Not Your Bargaining Chip',politics
13,We Need Free Speech Because We Are Ignorant,politics
14,Jerry West Talks Kevin Durant And Reveals The Team He 'Always' Wanted To Join,sports
15,Consumers Now 'Think Like An Expert' With New Real Estate Search Tool,business
16,Remember That Time Donald Trump Almost Bought An NFL Team?,sports
17,10 Universities That Receive The Most Government Money: 24/7 Wall St.,business
18,Charlie Hebdo and the Right to Laugh,business
19,Newlywed Couple Crash Cars Into Each Other In Fatal Accident,crime
20,5 Moments From The World Series That Will Haunt Mets Fans For Years,business
21,Japan Swoops In To Nab Women's Mass Speed Skating Gold,sports
22,"Walmart Gives 500,000 Workers A Raise",business
23,Death Row Roulette: Innocence Revealed,business
24,Sam Fuld's Pro Baseball Journey Is Hardly Defined By His Diabetes,sports
25,Texas Officer Gives Pot-Smoking Teen A Choice: Jail Or 200 Pushups,politics
26,Shaun White Dismisses Sexual Harassment Allegations As 'Gossip',crime
27,Man Jailed for Swearing During 911 Call: The Sad Saga of Boyd Green and a Senseless Arrest,crime
28,"Tim Tebow Smacks Walk-Off Home Run, Plays Like He Belongs In Baseball",sports
29,Eyewitness Captures Moment Dallas Protest Turned From Calm To Chaos,crime
30,"Super Bowl 2012: How Brady, Manning Stack Up Off The Field",sports
31,Donald Trump Fires Back At John Lewis After He Challenged The President-Elect's Legitimacy,politics
32,Fox News Reportedly Has A Rampant Sexist Culture,business
33,Hundreds Of Europe's Amazon Workers Plan Black Friday Strike,business
34,Elizabeth Hutcheson Stabbed 50 Times In Pizza Delivery Murder,crime
35,Oscar Pistorius Treated In Hospital For Wrist Injuries: Reports,sports
36,Donald Trump Wants To Break Up Big Banks,politics
37,"Slain California University Stabbing Suspect Was Angry About Study Group Ejection, Authorities Say",crime
38,"Akeem Hunt Touchdown: Purdue RB Tightropes Sideline, Scored 44-Yard TD (VIDEO)",business
39,"Orlando Shooting Funeral Procession Hit By Car, Officers Injured",crime
