survey
,headline,category
0,"Eric Holder Is Really, Really Sick Of People Saying He's Anti-Cop",Crime
1,Seven Types Of People That Should Never Receive Jobless Benefits,Politics
2,The Internet Can't Get Enough Of The Freakiest Game Ending Ever,Business
3,Lupe Valdez Could Make History As Texas?€? First Hispanic Governor,Politics
4,Why America Has A Leg Up On Fighting Extremism -- For Now,Politics
5,"For Donald Trump Or Hillary Clinton, A ""Hellish"" Economy Ahead",Politics
6,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests,Sports
7,Merrick Garland's Own Court Won't Force Republican Senators To Vote Him Up Or Down,Politics
8,George Zimmerman Accused Of Stalking Detective Working On Trayvon Martin Film,Crime
9,Trump Campaign Floats Every Defense In the Book For Second Amendment Fiasco,Politics
10,Warren Buffett Cancer Treatment Shows Challenges In Health Care Cost-Cutting,Business
11,The Reinvention of the Cadillac: Daring to Be Different,Business
12,Immigration Activists Protest Pelosi Over Trump Deal: 'We Are Not Your Bargaining Chip',Crime
13,We Need Free Speech Because We Are Ignorant,Crime
14,Jerry West Talks Kevin Durant And Reveals The Team He 'Always' Wanted To Join,Sports
15,Consumers Now 'Think Like An Expert' With New Real Estate Search Tool,Business
16,Remember That Time Donald Trump Almost Bought An NFL Team?,Sports
17,10 Universities That Receive The Most Government Money: 24/7 Wall St.,Politics
18,Charlie Hebdo and the Right to Laugh,Politics
19,Newlywed Couple Crash Cars Into Each Other In Fatal Accident,Crime
20,5 Moments From The World Series That Will Haunt Mets Fans For Years,Sports
21,Japan Swoops In To Nab Women's Mass Speed Skating Gold,Sports
22,"Walmart Gives 500,000 Workers A Raise",Business
23,Death Row Roulette: Innocence Revealed,Crime
24,Sam Fuld's Pro Baseball Journey Is Hardly Defined By His Diabetes,Sports
25,Texas Officer Gives Pot-Smoking Teen A Choice: Jail Or 200 Pushups,Politics
26,Shaun White Dismisses Sexual Harassment Allegations As 'Gossip',Crime
27,Man Jailed for Swearing During 911 Call: The Sad Saga of Boyd Green and a Senseless Arrest,Crime
28,"Tim Tebow Smacks Walk-Off Home Run, Plays Like He Belongs In Baseball",Sports
29,Eyewitness Captures Moment Dallas Protest Turned From Calm To Chaos,Crime
30,"Super Bowl 2012: How Brady, Manning Stack Up Off The Field",Sports
31,Donald Trump Fires Back At John Lewis After He Challenged The President-Elect's Legitimacy,Politics
32,Fox News Reportedly Has A Rampant Sexist Culture,Business
33,Hundreds Of Europe's Amazon Workers Plan Black Friday Strike,Crime
34,Elizabeth Hutcheson Stabbed 50 Times In Pizza Delivery Murder,Crime
35,Oscar Pistorius Treated In Hospital For Wrist Injuries: Reports,Sports
36,Donald Trump Wants To Break Up Big Banks,Politics
37,"Slain California University Stabbing Suspect Was Angry About Study Group Ejection, Authorities Say",Crime
38,"Akeem Hunt Touchdown: Purdue RB Tightropes Sideline, Scored 44-Yard TD (VIDEO)",Sports
39,"Orlando Shooting Funeral Procession Hit By Car, Officers Injured",Crime
